id_unico,text
28,"?
I'm falling so I'm taking my time on my ride...
.*.
#rolling #work #actor #weekend #bar #mirror #espill #espejo… https://t.co/JQ0UtfQpjD"
33,Decídete a deshacerte de tus miedos! Prueba la realidad virtual terapéutica vr_psious : miedo a las alturasvolari… https://t.co/F3pnvKTOYA
44,In the pocket #zwemmen 140laps - op weg naar de 6km straks in sept #nogweleventegaan #cnc #clubnauticocatalunya… https://t.co/KFrDd8sk2J
53,? @ Barcelona Spain https://t.co/aAGjeoTWHa
54,To SFC (@ Terminal 1 in El Prat de Llobregat Barcelona w/ @angela_rc90) https://t.co/yNvhfkq1Qm
67,تم نشر فيديو @ Barcelona Spain https://t.co/hYRS6dZsB6
82,#cels_catalans #sky_clouds_dawn #catalunyaexperience #sunset #myoffice #mediterraneansky en Barcelona–El Prat Airpo… https://t.co/vDlVkLkQNa
90,Barcellona 2019   August Performance by Antonio Taormina WORK AVAILABLE @ Las Ramblas plaza Catalunya Barcelona https://t.co/Xk6Av84Llx
99,FISHER @brunch_bcn ?? we were losing it. @ Barcelona Spain https://t.co/yK4DxOlNfp
100,"https://t.co/Xbyol9wKu8
#qualitydrinks  #fancy #best #bar #barcelonacocktailbar  #platabar #cocktails #thirsty… https://t.co/ikyCbNtSVj"
109,La cerveza #lambica es estupenda para matar los calores del verano. Hoy algo dulce: #lindemanskriek #lambicbeer… https://t.co/5WDw7SZSv9
112,We're hiring! Read about our latest job opening here: Associate Principal - PCE (Patient Centered Endpoints) -… https://t.co/nES2FuBR0q
127,"Abiertas las inscripciones para el nuevo curso con karim.bourgi en Barcelona!
14 15 y 16 de Febrero. NUEVAS RECETA… https://t.co/qWNJy2LWy7"
137,I have 7.8 points of Crowd Review of #reverbnation in my songs WONDER (Radio Edit) &amp; CALLING (Radio Edit). I go at… https://t.co/UAhpLHIStj
157,la clave está en inclinarse un poquito y jugar con la sombra ? en Sa Calobra Mallorca https://t.co/Z7gbQCZN3Q
167,Last day in #Spain yesterday before we headed home to the USofA. Kids learned to play #paddletennis this week a fa… https://t.co/SQsVVjxM2I
188,Asier Bionic presenta su LP “Corpore Insepulto”. Un trabajo que se compone con un total de 12 cortes en los que apa… https://t.co/JgoVbbcVOP
192,"? Buenos diaaaas!! ?.
.

? Por fin han llegado los helados de thepinkalbatross a Barcelona y no podemos estar mas h… https://t.co/o3GblRAQCN"
204,"What is your favorite @marvel character?
marvelstudios ? #hulk #avengers #avengersendgame #photoshop #cgi… https://t.co/8PfG8SurnI"
215,"current weather in Barcelona: clear sky 31°C
48% humidity wind 6kmh pressure 1015mb"
218,?? en Barcelona Spain https://t.co/WIzYnWPIZC
220,I'm at El Dorado Chicken in Barcelona https://t.co/uZzowbf5JI
226,Vivienda en Badalona €339000 - https://t.co/ZByMrbEDnh #holidayhome #villa #property https://t.co/KUTg58W4XG
228,All I see are sunny days ?. #summertimevibes #barcelona #shadeson #europe @ Barcelona Spain https://t.co/oqFjyAGhWg
231,Victoria Dolce massaggiatrice della Costa Rica ti vuole far provare il Massaggio reciproco a #FelinaMassage https://t.co/PJqgQOPURI
234,Marxem ben servits! (@ El Prat de Llobregat - @prat_llobregat in Barcelona) https://t.co/0hZwym7diD https://t.co/pAHH6Dhf1d
246,Acaba de publicar una foto en Badalona Beach https://t.co/wp7UiLg1bh
247,☀️? @ Fairmont Rey Juan Carlos I https://t.co/tjO5UYF8a9
260,"Widoki na Barcelonę ?
#barcelona #Catalunya #city #architecture #building #travel #traveling #visiting #instatravel… https://t.co/LHkW5MCyFT"
263,#postresdeverano refrescantes sabronos y sanos!! #eatlikeapro nutritional_coaching @paugasol @ascflorida emiliosan… https://t.co/yzwCr2KmBI
268,Acaba de publicar una foto en Badalona Beach https://t.co/eDiaVCIfQh
269,Только что опубликовано фото @ Barcelona Spain https://t.co/AFVOKnnuux
274,I'm at Chök in Barcelona https://t.co/vuELCCvxP1
280,"Víbora? Bandeja? Le pego? ?
Que creen que hice? ??
.
.
?: arkosports
#padel #padelfemenino #aranzaosoro… https://t.co/J1nnoszkxx"
281,"Nou Post al blog!  Hi faig una petita dissecció del que significa el #HaikuChallenge i com es va originar :)

Espe… https://t.co/l3Nxs6ZSLv"
292,"Primera salida muy suave tras 4 meses en el dique seco.
.
La espalda evoluciona favorablemente aunque la clavícula… https://t.co/sQIfevXfS3"
305,"Probando la desechable Calgonit!
12 Exp. Color. Película y ASA desconocidas

#camaradebolsillo #camaradeplastico… https://t.co/GKKlVNMNHs"
310,"Churros me encanta ? ?
.
#bcn #barcelona_world #lovebarcelona #ilovebarcelona #bcncity #sagradafamília #brasil… https://t.co/whqPuNxMEy"
349,Objet trouvé radio Nordmende virado a rojo con cables y ruedas para apoyo sonoro y coreográfico para la perfomance… https://t.co/kbbHYCPhcX
350,Never be enough en Barcelona Spain https://t.co/Mn6KydV58K
361,necessito un cafè ?☕️?? #siusplau ?: davidgmateu @ Eixample https://t.co/kcfZcdEEOR
365,All the stars we steal from the nightsky will never be enough. en Barcelona Spain https://t.co/sk8ITcNpbP
369,☀️ Summer days ☀️ @ Badalona https://t.co/4vf3pTb0wl
372,Acaba de publicar una foto en RCDE Stadium https://t.co/3h9tNcNa1Y
373,Barcelona unas 'claritas' kikohenriiques y gigibarcelona ???? Gracias a malvasawada y a teddyiborra más todo su e… https://t.co/C63VmkJ729
412,Basada en hechos reales. (@ Cinemes Full HD in Cornellà de Llobregat Barcelona) https://t.co/BTqLuj4F4P
420,❤️ Boxeo ??????????#EntrenaEnBarcelona #Boxeo #Barcelona #Boxing #ClubBoxeoBarcelona #run #running #crossfight… https://t.co/iHoyRmaj1a
433,Vista panorâmica de Barcelona e ao fundo a Catedral Sagrada Família obra de Antoni Gaudí. ?? #barcelona #espanha… https://t.co/oAiju2jdVp
436,#beach #nature #landscape #sun #enjoylife #alnuvol #sinfiltro #sun #relax #escape en Platja de Montgat NORD https://t.co/rSQ5gJcrmm
442,I want to meet you on the streets of Barcelona en Bunkers - El Carmel https://t.co/dyqrtbCFoQ
444,En Nuestro Templo ??????? ??⚽??⚪ ? ⚪ ? ⚪ ?☺ ? ?? ?? ?? ?? ?? en RCDE Stadium https://t.co/5P3nwNoEG9
451,I'm at Cal Charly in Barcelona Catalonia https://t.co/OjuLIQARug
464,Стартуваме... fcbarcelonapenyes #fcbpenyes @ Camp Nou (FC Barcelona) https://t.co/kRnIfVq5XZ
475,... за кратко и старт на Собранието... МК со свој делегат секако... fcbarcelonapenyes #fcbpenyes @ Camp Nou (FC Bar… https://t.co/lijtMCV5gc
499,"#efatto es ahora una tendencia en #Barcelona

https://t.co/XB2Ka6IXWj https://t.co/nKmoFxzXeq"
508,Le bled ??☀️ https://t.co/ZkZmhbS3OR
527,Ara si‼️ Oficialment mode Vacances On ‼️ uns dies de desconnexió de ?
530,I really can't believe that this happened. After hours waiting we had the incredible pleasure to meet this beautif… https://t.co/OKyQD1Mp58
561,Throwback to when we went Sephora in Barcelona?? we were in our element?? @ SEPHORA https://t.co/QAimcSVCKS
